i,r_mean,r_std,r_total,pnl_mean,pnl_std,pnl_last
0,0.0052240258916856465,0.02279071081962752,0.161944802642255,0.12293789742405768,0.04382353052714956,0.161944802642255
1,0.0040708819460489225,0.017479734568447043,0.1261973403275166,0.05321750275505237,0.04363298336960917,0.1261973403275166
2,0.0061865403560444135,0.01979978965818731,0.19178275103737688,0.12380723069527906,0.046950680142561874,0.19178275103737688
3,0.009438987100969607,0.01980603742591781,0.29260860013005785,0.2011169479476109,0.09958944653425394,0.29260860013005785
4,0.002754652692642966,0.016946253053250124,0.08539423347193198,0.028624602875003194,0.05086254722593291,0.08539423347193198
