i,r_mean,r_std,r_total,pnl_mean,pnl_std,pnl_last
0,0.07633621154500905,0.08587194152709839,4.656508904245551,0.0,0.0,0
1,0.27358757604106526,0.15977832820411006,16.688842138504974,0.0,0.0,0
2,-0.07899734121962665,0.05404516105129359,-4.818837814397225,0.0,0.0,0
3,-0.04268543078073803,0.04843673584644316,-2.6038112776250206,0.0,0.0,0
4,0.0310596980270015,0.04804770826683475,1.8946415796470917,0.0,0.0,0
5,-0.0745182004340666,0.09267879421343564,-4.545610226478062,0.0,0.0,0
6,-0.08654360590400155,0.06421196801721471,-5.279159960144091,0.0,0.0,0
7,0.017029218594530125,0.021069703406142753,1.0387823342663376,0.0,0.0,0
8,0.24717157091775438,0.15395214475807664,15.077465825983017,0.0,0.0,0
9,-0.03601199736735354,0.022250493297989383,-2.1967318394085655,0.0,0.0,0
10,0.12777352633531844,0.09179940110562436,7.7941851064544245,0.0,0.0,0
11,0.23543837125200887,0.14021313900710122,14.36174064637254,0.0,0.0,0
12,-0.13056984725895782,0.08086588927848401,-7.9647606827964275,0.0,0.0,0
13,-0.0899152623529004,0.03514793791942023,-5.484831003526924,0.0,0.0,0
14,0.10367197324615147,0.10695745955131251,6.323990368015241,0.0,0.0,0
15,-0.17592539856613917,0.06684702636618008,-10.731449312534489,0.0,0.0,0
16,0.0954349511044899,0.10515049200957524,5.821532017373884,0.0,0.0,0
17,-0.12506615685881153,0.05510456808040909,-7.629035568387502,0.0,0.0,0
18,-0.08096644735229978,0.08842722674952591,-4.9389532884902865,0.0,0.0,0
19,-0.015314950642274025,0.023087317238936724,-0.9342119891787157,0.0,0.0,0
20,-0.0775013176511934,0.05404974721390669,-4.7275803767227975,0.0,0.0,0
21,-0.07026394407395353,0.09743578708119073,-4.286100588511165,0.0,0.0,0
22,0.03436739283218928,0.05260885499714232,2.0964109627635454,0.0,0.0,0
23,0.13420375959691613,0.13068467968503902,8.186429335411882,0.0,0.0,0
24,-0.07899734121962665,0.05404516105129359,-4.818837814397225,0.0,0.0,0
