i,r_mean,r_std,r_total,pnl_mean,pnl_std,pnl_last
0,-0.0028692448146901985,0.026584188293980408,-0.08894658925539613,-0.07519740104413514,0.044968131618966345,-0.08894658925539613
1,-0.0005611189414485566,0.02452237427569679,-0.017394687184905253,0.017468883589672815,0.028189783425004264,-0.017394687184905253
2,0.002230193606154446,0.02020680965423851,0.06913600179078783,0.010011579973465688,0.041072843673466926,0.06913600179078783
3,0.006074160990400974,0.03384396297832489,0.18829899070243022,0.10020481181883216,0.07578116101590052,0.18829899070243022
4,0.007457809542007971,0.026048636026254915,0.2311920958022471,0.10793394060839752,0.04394795098771116,0.2311920958022471
5,0.0007943912793652103,0.02306176541507746,0.02462612966032152,-0.003459057699896048,0.02934083456413313,0.02462612966032152
6,0.005366026785157379,0.01955435969829961,0.16634683033987874,0.0905179407138331,0.03359755607857703,0.16634683033987874
7,0.0028345861089691445,0.033882318705228155,0.08787216937804354,0.08578699440824337,0.06147103638909981,0.08787216937804354
8,0.0009158758734634558,0.025548223116480064,0.02839215207736713,0.05301191365998775,0.049812583753213575,0.02839215207736713
9,0.0008099880813222256,0.03128811317601241,0.02510963052098901,0.028180466334276115,0.048624187721487834,0.02510963052098901
10,0.011552573695828431,0.025961347901387603,0.3581297845706814,0.19796492774789406,0.0855945656567713,0.3581297845706814
11,-0.001313862780339642,0.025945436082169444,-0.04072974619052891,-0.012778041789986946,0.030372443056623195,-0.04072974619052891
12,0.0009265441143031694,0.019494373280347855,0.02872286754339824,0.018468393789973895,0.03493774045318496,0.02872286754339824
13,-0.012822823561160154,0.03385542256206924,-0.3975075303959648,-0.22226272836197453,0.14592217551853437,-0.3975075303959648
14,-0.002890405578855536,0.024625057350489515,-0.08960257294452162,-0.06777988768777117,0.03446229362967663,-0.08960257294452162
15,0.0070631764679078045,0.025263352020811262,0.218958470505142,0.12263726393886902,0.09288297092525745,0.218958470505142
16,-0.0067146619750167195,0.036146335637107244,-0.20815452122551834,-0.06854946780971811,0.0708015257925931,-0.20815452122551834
17,-0.0003145312587349894,0.02393477702406723,-0.009750469020784656,-0.007817137001196782,0.036070409258800826,-0.009750469020784656
18,0.00557567316922587,0.02323626993732699,0.17284586824600198,0.0914607567838227,0.08859405981902954,0.17284586824600198
19,0.0009919335126188813,0.0255313245049529,0.03074993889118533,0.037335751606155605,0.03623259754936591,0.03074993889118533
20,0.0001989615295420283,0.026874337959280743,0.006167807415802877,0.03739687492553376,0.03194685884293174,0.006167807415802877
21,0.004687547827242575,0.02259361342519537,0.14531398264451983,0.059001024409153995,0.061792381632868466,0.14531398264451983
