i,r_mean,r_std,r_total,pnl_mean,pnl_std,pnl_last
0,0.03018383476881267,0.07169173943060547,0.9356988778331929,0.5981926328826838,0.40914244279422335,0.9356988778331929
1,0.09205052723359776,0.07834448023672534,2.8535663442415307,1.1246709935760117,0.9477484694259973,2.8535663442415307
2,0.13820819269113732,0.2340482025324107,4.284453973425256,2.2815086836385885,1.3368073598769312,4.284453973425256
3,0.1604194873805731,0.2272129841689619,4.973004108797766,1.7492113678684007,1.7906536157060842,4.973004108797766
4,0.11640134839229599,0.19811754658739938,3.6084418001611755,1.8685882089420238,0.862019014345833,3.6084418001611755
5,0.020188402707227965,0.03204365452205503,0.6258404839240669,0.35952700654135233,0.2725619807425725,0.6258404839240669
6,0.01894208344224759,0.042507565576457934,0.5872045867096752,0.4022871767443636,0.2282921338321694,0.5872045867096752
7,0.045037732275630786,0.06822037131260136,1.3961697005445544,0.738002320495763,0.3715170317919525,1.3961697005445544
8,0.03388493564088245,0.10610276380247163,1.0504330048673558,0.6253255155478007,0.24690465619349117,1.0504330048673558
9,0.13480809544172406,0.22834817863905096,4.179050958693445,3.4801413744758696,0.9373471484448925,4.179050958693445
10,0.11180301402256966,0.1425797286383181,3.4658934346996593,1.9870663659521273,1.1047972694662638,3.4658934346996593
11,0.02189825884325732,0.10566488266239633,0.6788460241409767,0.3412943187560077,0.3099261515646525,0.6788460241409767
12,0.11641751973422478,0.07656329327485485,3.6089431117609685,1.7650647534065984,1.2847327185370863,3.6089431117609685
13,0.031546557822599845,0.07276861621986969,0.9779432925005951,0.5373420524713345,0.2552456413694802,0.9779432925005951
14,-0.03444706151857955,0.254526783735754,-1.0678589070759663,-0.3810279239423825,0.7752210473462674,-1.0678589070759663
