open time,O,H,L,C,volume,close time,quote,trades count,base volume,quote volume,unused
2017-09-01 09:00:00,4689.89000000,4885.55000000,4654.88000000,4834.91000000,560.66636600,2017-09-02 08:59:59.999,2665165.55924616,4000,118.66010300,566254.43089734,0
2017-09-02 09:00:00,4796.16000000,4939.19000000,4286.87000000,4472.14000000,929.14859500,2017-09-03 08:59:59.999,4257723.94481700,7475,379.19986300,1738334.08541735,0
2017-09-03 09:00:00,4508.50000000,4714.76000000,4298.33000000,4509.08000000,691.21619800,2017-09-04 08:59:59.999,3121052.75230181,6022,258.93453600,1169644.69159694,0
2017-09-04 09:00:00,4505.00000000,4527.49000000,3972.51000000,4100.11000000,1394.64461400,2017-09-05 08:59:59.999,5909947.49008974,9317,578.60085100,2460362.61291664,0
2017-09-05 09:00:00,4106.97000000,4484.99000000,3603.00000000,4366.47000000,1228.93815700,2017-09-06 08:59:59.999,5083453.18675071,10084,533.47606500,2214297.83961246,0
2017-09-06 09:00:00,4366.49000000,4662.87000000,4335.26000000,4619.77000000,807.36372600,2017-09-07 08:59:59.999,3626346.05544323,7956,422.92306300,1903231.74091540,0
2017-09-07 09:00:00,4619.77000000,4788.59000000,4438.19000000,4691.61000000,500.42997500,2017-09-08 08:59:59.999,2305795.13638315,3070,240.68394900,1111299.24357466,0
2017-09-08 09:00:00,4691.66000000,4735.39000000,4028.93000000,4282.80000000,1132.25504600,2017-09-09 08:59:59.999,4866527.22639337,4733,465.96211900,2004277.28941755,0
2017-09-09 09:00:00,4282.80000000,4426.62000000,4150.06000000,4258.81000000,658.78295200,2017-09-10 08:59:59.999,2815383.46568698,3777,287.98980500,1233627.00774409,0
2017-09-10 09:00:00,4258.81000000,4283.00000000,3801.00000000,4130.37000000,660.37327500,2017-09-11 08:59:59.999,2700371.80819211,3435,291.78688700,1193884.03650449,0
2017-09-11 09:00:00,4153.62000000,4334.43000000,4098.91000000,4208.47000000,699.98906500,2017-09-12 08:59:59.999,2956842.76250147,4228,322.19833000,1361869.71324406,0
2017-09-12 09:00:00,4208.60000000,4394.59000000,4040.80000000,4163.72000000,879.63031900,2017-09-13 08:59:59.999,3725190.62328952,6501,451.78067000,1911015.26637066,0
