i,r_mean,r_std,r_total,pnl_mean,pnl_std,pnl_last
0,-0.005527545284473531,0.017627514471657495,-0.17135390381867946,-0.10669194039668924,0.04133576335703854,-0.17135390381867946
1,0.015486069509437633,0.01917071942013094,0.48006815479256665,0.23603750476077737,0.16279333915696367,0.48006815479256665
2,0.02743650125341717,0.021693787973353976,0.8505315388559324,0.4600816082575479,0.24955076063918633,0.8505315388559324
3,0.002594174075656669,0.01840806135409228,0.08041939634535675,0.03637226199144418,0.033816289912592994,0.08041939634535675
4,0.0034715279163846976,0.019058298579396345,0.10761736540792566,0.12120680220400024,0.05171576424288997,0.10761736540792566
5,-0.012816885038139327,0.07639243293627543,-0.39732343618231913,-0.053345062176557566,0.07511812165706637,-0.39732343618231913
6,0.001113310638208152,0.016468450206267263,0.034512629784452714,0.02694131195157181,0.02183004066844898,0.034512629784452714
7,0.001375418630555085,0.01780297702155443,0.04263797754720762,0.0071148319809254705,0.037051822510884756,0.04263797754720762
8,0.040009453572020036,0.03545734003487021,1.240293060732621,0.48267620759742275,0.39742697662010906,1.240293060732621
9,0.0033169383591382683,0.03875821902255661,0.1028250891332863,0.030977987316935577,0.05569026108444311,0.1028250891332863
10,-0.0006826489057465176,0.023437485372864643,-0.021162116078142067,-0.01221715631066798,0.03783161295812499,-0.021162116078142067
11,0.0050285500057563794,0.023468653890794968,0.15588505017844775,0.04829183411101338,0.07476840913920396,0.15588505017844775
12,0.0203258636568305,0.018063965614014566,0.6301017733617454,0.38736587474132494,0.19225287417043155,0.6301017733617454
13,0.1110673458073861,0.031439864796994274,3.4430877200289687,1.7787550465311166,1.0085823300828116,3.4430877200289687
14,-0.00395044005196981,0.020915100296802196,-0.12246364161106416,-0.08585057364964588,0.036831237942021915,-0.12246364161106416
15,-0.0008501932014370263,0.03392865627254887,-0.02635598924454783,-0.07308758334018954,0.06104584670126719,-0.02635598924454783
16,-0.0036077598689528002,0.02749877658179754,-0.1118405559375368,-0.04308774617688089,0.04006733676373214,-0.1118405559375368
17,0.008625900499803725,0.037499080940770306,0.2674029154939155,0.11190128896011108,0.10759811481001888,0.2674029154939155
18,0.0029578299323841724,0.026728043162836463,0.09169272790390937,0.065686284691575,0.04577824075862825,0.09169272790390937
19,0.026449716101201656,0.02253413374717901,0.8199411991372514,0.4261474496492323,0.2499595702117895,0.8199411991372514
20,0.0013919240242814635,0.01729946533147352,0.04314964475272534,0.09027193900822118,0.03165678394453852,0.04314964475272534
21,0.008622549732644036,0.044265241656754065,0.2672990417119651,0.13346924773338628,0.07713093564367444,0.2672990417119651
22,0.0005711370573467554,0.01447320747209055,0.01770524877774943,0.06725375321113569,0.02568006909568142,0.01770524877774943
23,0.010984417577170318,0.017030021477409608,0.34051694489227985,0.18795717550989724,0.09253859471287124,0.34051694489227985
24,-0.006751767437154305,0.0189185256439856,-0.20930479055178342,-0.1267518808112146,0.08104584487630606,-0.20930479055178342
