i,r_mean,r_std,pnl_mean,pnl_std,pnl_last
0,0.0,0.0,0.018290454254278284,0.03871122613617762,0.11847237279843251
1,0.0,0.0,-0.08393179151767223,0.04897581537814366,-0.15180241776662115
2,0.0,0.0,0.16356123973026743,0.18540171099424407,0.22613994555973851
3,0.0,0.0,-0.058312412431611414,0.03147633555382309,-0.016662537898399436
4,0.0,0.0,-0.1743031015967516,0.10102209855284223,-0.26441705635384777
5,0.0,0.0,0.12181838091745059,0.0695968997972704,0.07366767126357639
6,0.0,0.0,-0.046982304233671335,0.07276373756139473,-0.132634166324188
7,0.0,0.0,0.13064426047163533,0.09778226414868685,0.2624258765584277
8,0.0,0.0,-0.040308129738159455,0.07645686932139016,-0.09092692747663325
9,0.0,0.0,0.029727598996669054,0.01743088789090639,0.03199600117108561
10,0.0,0.0,0.03674448346127386,0.03692508244808145,-0.022197186114472973
11,0.0,0.0,0.002963316476681048,0.06252392175709517,-0.1295901580050332
12,0.0,0.0,-0.05969924428692933,0.0373753670997606,-0.07354859135314004
13,0.0,0.0,0.054679304903108954,0.08582605418059328,0.035379818744413816
14,0.0,0.0,0.012829194021327806,0.06137217741320206,0.09861669435480959
15,0.0,0.0,-0.10914667086950008,0.033833466875999946,-0.09680553229545712
16,0.0,0.0,0.020819969843722863,0.030311669190422427,-0.03224185157742779
17,0.0,0.0,0.14399416633591036,0.14101633342856035,0.3673463461055929
18,0.0,0.0,0.014043163641210842,0.02162806718984593,-0.05137320125566863
19,0.0,0.0,0.1449346375732516,0.16490618902630041,0.3665798160731466
20,0.0,0.0,-0.09812183881527453,0.07811623535086233,-0.1182571466340587
21,0.0,0.0,0.43308336893762395,0.19231095993017183,0.6323461964981527
22,0.0,0.0,0.042974664636309896,0.0276183378406231,0.06683923568750239
23,0.0,0.0,-0.11696104216445789,0.08915817284470831,-0.22589463790872935
24,0.0,0.0,0.015760374758752135,0.018343943635593215,0.06717758301311164
