i,r_mean,r_std,r_total,pnl_mean,pnl_std,pnl_last
0,0.03066940851303622,0.09982394751243163,0.9507516639041228,0.4043221317090026,0.18850574691082483,0.9507516639041228
1,-0.005213350626500882,0.189979216210967,-0.16161386942152745,-0.0831416340977463,0.2684438195017463,-0.16161386942152745
2,-0.0036188486556487116,0.05880679364211401,-0.11218430832511009,0.14579407791221374,0.0943233689101186,-0.11218430832511009
3,-0.002850847447119982,0.028959244037506365,-0.08837627086071945,-0.06199205028094153,0.05087693396679127,-0.08837627086071945
4,-0.0023035793093315834,0.03401668775381299,-0.07141095858927905,-0.016208874303587282,0.03800678462504191,-0.07141095858927905
5,-0.03596322601470067,0.2029988279710494,-1.1148600064557208,-0.9845370587881778,0.6719232809241759,-1.1148600064557208
6,0.0007327824453752062,0.14327653243057592,0.02271625580663128,0.23489609123978214,0.23267057473681083,0.02271625580663128
7,0.014048844613550313,0.10341589123390638,0.4355141830200599,0.4455014852890595,0.12461122293446866,0.4355141830200599
8,-0.0006767223546351435,0.14285193762393048,-0.02097839299368945,0.03104056667900816,0.29549885205482984,-0.02097839299368945
9,0.003975970630168336,0.0814029216418743,0.12325508953521841,0.10536628620574981,0.0783072000590444,0.12325508953521841
10,0.03337911391310356,0.12872847472889273,1.0347525313062103,0.15684188580804181,0.35669325621063663,1.0347525313062103
11,-0.00024900034166938916,0.10327647952482616,-0.007719010591750897,-0.18205731483371793,0.19502776623016338,-0.007719010591750897
12,-0.00020462064262440617,0.04443187095165266,-0.006343239921356564,-0.005003394544981995,0.058642637842911106,-0.006343239921356564
13,0.00024246908227563486,0.1036170748208878,0.00751654155054475,-0.10580523725282996,0.11356854767215253,0.00751654155054475
14,0.0013696694093424764,0.07840381379753357,0.042459751689616826,0.03232522472416826,0.11998871873433162,0.042459751689616826
