i,r_mean,r_std,r_total,pnl_mean,pnl_std,pnl_last
0,0.04999805604811654,0.05177301022231367,1.5499397374916126,0.5403520317472209,0.49907535841127393,1.5499397374916126
1,0.06136870914432446,0.06542098551600224,1.9024299834740583,0.5435690859433571,0.6006261761710083,1.9024299834740583
2,0.030900047609378426,0.10236664994081603,0.9579014758907312,0.35086480324270886,0.22756416439713678,0.9579014758907312
3,0.02591882237910982,0.06379607042848603,0.8034834937524044,0.2852986529487213,0.27780878639467416,0.8034834937524044
4,0.007764289833366213,0.02164121727168156,0.24069298483435259,0.1986609253840557,0.0553169385210035,0.24069298483435259
5,0.07672351958253329,0.08546198113073065,2.3784291070585324,1.073705607248302,0.5442162540161865,2.3784291070585324
6,0.07085287865110566,0.09944545764500684,2.1964392381842752,1.0228705176860529,0.5697286883872067,2.1964392381842752
7,0.033056312640352546,0.051198382318630296,1.024745691850929,0.4736370362711128,0.3988341974079555,1.024745691850929
8,0.147107129374415,0.19641149087780754,4.560321010606866,2.98875668629912,1.3202543398852382,4.560321010606866
9,0.04425262860260122,0.07410600183488968,1.3718314866806376,1.0112933448099302,0.321758160515163,1.3718314866806376
10,0.051664692329935605,0.07847374658005908,1.6016054622280038,1.132701215272073,0.5251722325633238,1.6016054622280038
11,0.15529641209129783,0.20901226030446263,4.8141887748302326,1.7177929114262318,1.4640204757649755,4.8141887748302326
12,0.004951948701467047,0.06055442840517819,0.15351040974547853,0.06670857337957227,0.08238005521936893,0.15351040974547853
13,0.023624780076266304,0.0670080955811629,0.7323681823642554,0.4085180151317129,0.27305110858183096,0.7323681823642554
14,0.04262843697242611,0.060909428704561744,1.3214815461452096,1.0374927079748262,0.4094411217596767,1.3214815461452096
