i,r_mean,r_std,r_total,pnl_mean,pnl_std,pnl_last
0,0.0036887594043758082,0.020427582512007283,0.11435154153565011,0.14220488320436225,0.03350128690469522,0.11435154153565011
1,0.004757059042713166,0.021455328067626695,0.14746883032410812,0.0730457158306679,0.036848715053677435,0.14746883032410812
2,0.0021909492745574148,0.026732998806123502,0.06791942751127986,-0.013043583712945507,0.05552216563464684,0.06791942751127986
3,-0.010418665943751692,0.03363754373177345,-0.32297864425630246,-0.24801656306535352,0.07598275821082429,-0.32297864425630246
4,-0.00665508957697048,0.022993091654386903,-0.2063077768860849,-0.08472314286017994,0.09173682059468859,-0.2063077768860849
5,-0.0010391573136021607,0.02502320770632007,-0.032213876721666986,-0.019481015327741383,0.026575938811620518,-0.032213876721666986
6,-0.0027653176880281924,0.020782459373748275,-0.08572484832887398,-0.01646278899262781,0.0417852752396548,-0.08572484832887398
7,-0.0007570489670255723,0.023859965036999747,-0.023468517977792782,0.0488008320412976,0.04567268789744487,-0.023468517977792782
8,0.005922933714691076,0.019372053785498337,0.18361094515542337,0.10533773948967215,0.03291281321748144,0.18361094515542337
9,0.0040587990387134405,0.01954544904956624,0.12582277020011665,0.04530853804053273,0.057721473459563306,0.12582277020011665
10,0.006374103294120863,0.021069069430189453,0.19759720211774673,0.0693966795578659,0.07824994154887342,0.19759720211774673
11,-0.003331270750915289,0.02485632728977095,-0.10326939327837396,-0.05472958080766679,0.04597250171882632,-0.10326939327837396
12,0.005418449318218097,0.019539898506783813,0.167971928864761,0.08153443634800323,0.039038992391853766,0.167971928864761
13,-0.00031016728377046776,0.02673678045899524,-0.009615185796884487,-0.053937122240307944,0.046010055744825154,-0.009615185796884487
14,0.001316586259622902,0.018668723623876133,0.040814174048309976,-0.012768193335614166,0.031172009595606266,0.040814174048309976
15,-0.0029441533083783555,0.018802261188829075,-0.09126875255972904,-0.07874038029643879,0.043442314627093186,-0.09126875255972904
16,-0.008854740897361674,0.020503303226723824,-0.2744969678182119,-0.1097904827050878,0.10216053385185885,-0.2744969678182119
17,0.002387760716828052,0.020835555436741628,0.0740205822216696,0.04173269690126589,0.03451464271616009,0.0740205822216696
18,0.005849203570311911,0.020219984336772984,0.18132531067966925,0.16367098347601716,0.0580371937611486,0.18132531067966925
19,-0.0006019759332988171,0.03289589982385711,-0.018661253932263314,0.04023370638897248,0.050898422526361176,-0.018661253932263314
20,0.002148217087904376,0.02055137655963242,0.06659472972503566,0.0194506495436704,0.0390934750520463,0.06659472972503566
21,0.0037357659147415566,0.019983317366088504,0.11580874335698825,0.06299881630744605,0.03829437961596882,0.11580874335698825
22,0.0027609571099019795,0.0179319790826466,0.08558967040696136,0.0605445467573579,0.03509742192973527,0.08558967040696136
23,-0.00039663707476826626,0.02431980887917114,-0.012295749317816282,-0.0803907634084228,0.044727873125835906,-0.012295749317816282
24,-0.001889213626259469,0.020565194028520785,-0.058565622414043554,-0.0008638170250530729,0.04307921456170666,-0.058565622414043554
25,0.0026134245269893368,0.02057373828056511,0.08101616033666945,0.04514799185407615,0.029743974673074776,0.08101616033666945
26,0.00014018507646149946,0.03726432090170265,0.004345737370306469,0.014170422953463843,0.0625549171641638,0.004345737370306469
27,-0.004472192631802631,0.023541755547020985,-0.13863797158588156,-0.08953325277604064,0.055069059225736045,-0.13863797158588156
28,-0.004462663708907551,0.023343735471169292,-0.13834257497613414,-0.09125290331975809,0.03522043190654721,-0.13834257497613414
29,-0.004383998021226262,0.023377665389090994,-0.1359039386580141,-0.08364629864083083,0.06329489612385981,-0.1359039386580141
30,0.0010374838011390258,0.021764848044394804,0.03216199783530982,-0.0018848743965588697,0.03698817683522557,0.03216199783530982
31,-0.005182086629323345,0.021565749262803656,-0.1606446855090237,-0.15829138930240225,0.05568188813422166,-0.1606446855090237
32,0.0007856554228877173,0.02464585340630587,0.024355318109519235,0.06933263019308523,0.040908837757479236,0.024355318109519235
33,-0.005466232955112585,0.023668522411096418,-0.16945322160849008,-0.11333204595342385,0.07841929632883485,-0.16945322160849008
34,0.0031572246084774777,0.026636167454487675,0.09787396286280181,0.010962609301603674,0.05772772129630615,0.09787396286280181
35,0.0024240200133213152,0.02166585881092048,0.07514462041296077,0.02762597826056687,0.03752302726140817,0.07514462041296077
36,0.0021733003765827645,0.0367004227619014,0.06737231167406572,0.06132318766128061,0.0681507607258595,0.06737231167406572
37,0.0027239571973475137,0.016781595091106116,0.08444267311777291,0.05078794869167124,0.030836519029721687,0.08444267311777291
38,-0.003978293019856635,0.020160106340843153,-0.12332708361555571,-0.10858749053034282,0.048259467305378514,-0.12332708361555571
39,0.0027271381237761326,0.033442835185518716,0.08454128183706006,0.07855830469800232,0.04356231414680784,0.08454128183706006
40,0.005909427667447436,0.020622257525604506,0.18319225769087052,0.10781376747673742,0.07208045874614177,0.18319225769087052
41,-0.00484459844204939,0.023147277254969602,-0.15018255170353106,-0.08793117042865888,0.042659033812146016,-0.15018255170353106
42,-0.0044639647062150855,0.03655958381827905,-0.13838290589266766,-0.08772475185464554,0.05734544424044788,-0.13838290589266766
43,-0.0022059366361534345,0.02341381152611892,-0.06838403572075649,-0.007513952154903054,0.04113283995879699,-0.06838403572075649
44,-0.0035470299775790127,0.020414104093075754,-0.10995792930494937,-0.039628616619645965,0.05786006632108228,-0.10995792930494937
45,-0.005253448594632871,0.025241774099486018,-0.16285690643361894,-0.11137924465315897,0.04709629787912937,-0.16285690643361894
46,-0.004765511736803544,0.020540401675389106,-0.14773086384090983,-0.10019086594845997,0.04716498415349934,-0.14773086384090983
47,0.0001403924832323475,0.02180058717077076,0.0043521669802027655,-0.03621410295699904,0.02598352102764951,0.0043521669802027655
48,1.3807089555116436e-05,0.01773476362545666,0.0004280197762086303,0.04568183630764131,0.021794339553779313,0.0004280197762086303
49,0.002932844181341833,0.02050367414306413,0.0909181696215968,0.0158196348996578,0.060335364992636795,0.0909181696215968
