i,r_mean,r_std,r_total,pnl_mean,pnl_std,pnl_last
0,-0.003146974604527595,0.14280256517891987,-0.09755621274035545,0.13343985696133542,0.18782857950449247,-0.09755621274035545
1,0.1494435094125764,0.21465454739458922,4.632748791789868,0.9437244052147012,1.3249102403571085,4.632748791789868
2,0.04600752320510118,0.1293190663819698,1.4262332193581366,0.2174678064745368,0.4136736520876113,1.4262332193581366
3,0.13656994323777702,0.17651469298396286,4.233668240371088,2.156473027709675,1.6106289471103665,4.233668240371088
4,0.2122994216218281,0.08309102210290613,6.581282070276671,2.8402899069410488,2.114701256520335,6.581282070276671
5,0.03976844790377123,0.23243184419704768,1.2328218850169086,0.5404776029807493,0.509743922015919,1.2328218850169086
6,-0.0023993264025372143,0.07922031646138296,-0.07437911847865364,-0.37820137209564303,0.22220039142501763,-0.07437911847865364
7,0.08663588815970856,0.14057387812224328,2.6857125329509652,0.5167959262594535,0.7214770150422645,2.6857125329509652
8,-0.004480048439651437,0.052927119859294526,-0.1388815016291946,-0.05038514532098335,0.05090740744656711,-0.1388815016291946
9,0.09636614265548028,0.1800772142525156,2.9873504223198886,0.13634714527127362,1.1387486135689822,2.9873504223198886
10,0.2390754471508625,0.10283203625347978,7.4113388616767395,3.214443410082284,2.3696870121020503,7.4113388616767395
11,0.1350808142939767,0.1333434204921473,4.187505243113277,1.8628580595395106,1.4374878844372325,4.187505243113277
12,0.09894708919301137,0.1644068928996711,3.067359764983353,2.0189278461385567,1.370503377374155,3.067359764983353
13,0.2844847954559722,0.07521949316944142,8.819028659135139,4.8068008094668695,2.7303622815436226,8.819028659135139
14,0.0898010954817406,0.16631664020723136,2.7838339599339585,2.15326577367987,0.5336310385482568,2.7838339599339585
