i,r_mean,r_std,r_total,pnl_mean,pnl_std,pnl_last
0,0.00822466253569427,0.03364023153590597,0.2549645386065224,0.1858567057070959,0.07675056164193259,0.2549645386065224
1,-0.0024681255027007103,0.02453454097943449,-0.07651189058372199,-0.03961855849967786,0.04270337442985637,-0.07651189058372199
2,0.0010425712122064791,0.019488512484455264,0.03231970757840081,-0.03561524551032405,0.044390339141599164,0.03231970757840081
3,-0.001217140589137693,0.015273340608876258,-0.03773135826326848,0.005406725279026824,0.043820098932994225,-0.03773135826326848
4,0.003931330157467815,0.020677201471600102,0.12187123488150226,0.04236299605144442,0.052307958792691275,0.12187123488150226
5,-0.0061850427706966376,0.02475282110935336,-0.19173632589159575,-0.1050601224393867,0.05823217025368977,-0.19173632589159575
6,-0.0014419952940891896,0.024060005244889836,-0.0447018541167649,-0.03064689741074674,0.03002435948491121,-0.0447018541167649
7,0.00395306758051057,0.0247650485130967,0.12254509499582775,0.05344237334054979,0.07111536167979539,0.12254509499582775
8,-0.0028020573182820914,0.02219743756183031,-0.08686377686674483,-0.008496107557126981,0.03880545023761658,-0.08686377686674483
9,0.0028626378384400903,0.02256899801652507,0.08874177299164279,0.026693683519401813,0.04941501472974572,0.08874177299164279
10,-0.00556220077383914,0.030557756494188532,-0.17242822398901334,-0.0696237171298209,0.07544786446145454,-0.17242822398901334
11,-0.00642654450354361,0.021011292932865487,-0.19922287960985197,-0.11677318033729883,0.05603593865772174,-0.19922287960985197
12,0.0010187345923749697,0.021127264940160307,0.03158077236362406,0.019313913281533004,0.037467872546395435,0.03158077236362406
13,-0.006286481712729531,0.03411250839215769,-0.19488093309461546,-0.09514862788302089,0.05351593120677538,-0.19488093309461546
14,0.0048656843888227625,0.025045598862382244,0.15083621605350558,0.036023188446630744,0.06835420545042768,0.15083621605350558
15,-0.000569316485459608,0.020081764734907692,-0.017648811049247863,0.016531488038549053,0.04225552438591114,-0.017648811049247863
16,0.0011509782795920207,0.021941972426530326,0.03568032666735266,0.03883817160024238,0.02872061357656275,0.03568032666735266
17,0.002088492750370122,0.03248758000696462,0.06474327526147375,0.009261317906876114,0.034270004160624236,0.06474327526147375
18,-0.005599526896252047,0.03242141111647769,-0.17358533378381347,-0.04888604797940391,0.06039812951617337,-0.17358533378381347
19,-0.004284979727825196,0.0640464018507198,-0.13283437156258115,-0.2665345274210278,0.11525157362332643,-0.13283437156258115
20,0.00034944628031956807,0.022497188146849673,0.010832834689906604,0.028076825046875448,0.04897629562377158,0.010832834689906604
21,0.009171252218764858,0.03006355015745363,0.2843088187817106,0.148320060950008,0.1269166671752575,0.2843088187817106
22,0.0010459844816829347,0.03618729552482459,0.032425518932171014,-0.026230972861373863,0.04341250168081734,0.032425518932171014
23,0.0032992365929616217,0.019891885159911728,0.10227633438181027,0.07069817854005088,0.04934253533917851,0.10227633438181027
24,-0.002799250939679185,0.02608615964366699,-0.08677677913005476,-0.09898342347168286,0.031203784314721796,-0.08677677913005476
