open-time,open,high,low,close,volume
2017-03-01 09:00:00,140238.83,145707.22,140048.08,145639.66,6380288005.68
2017-03-02 09:00:00,145639.66,151581.78,143608.63,150266.37,8786940456.41
2017-03-03 09:00:00,150266.37,158335.19,150371.71,154684.45,7841494231.56
2017-03-04 09:00:00,154684.45,156504.48,146058.4,153068.96,5934945074.68
2017-03-05 09:00:00,153068.96,154152.13,148614.04,153766.51,4002392984.51
2017-03-06 09:00:00,153766.51,153964.82,152070.95,153072.09,3910312467.91
2017-03-07 09:00:00,153072.09,152421.15,146392.46,148308.03,7720510932.89
2017-03-08 09:00:00,148308.03,151171.76,130621.08,139711.89,14831339504.96
2017-03-09 09:00:00,139711.89,145574.39,137022.73,142488.13,7419471847.91
2017-03-10 09:00:00,142488.13,153669.84,130060.91,139505.3,12500280390.94
2017-03-11 09:00:00,139505.3,144596.31,138637.82,143243.01,5469169480.54
2017-03-12 09:00:00,143243.01,148788.66,142901.42,148399.49,3777026014.15
2017-03-13 09:00:00,148399.49,151324.06,148087.67,150243.56,5053144286.92
2017-03-14 09:00:00,150243.56,150541.06,147853.35,149052.27,3718458096.16
2017-03-15 09:00:00,149052.27,149672.2,145915.95,148479.51,3640215271.18
2017-03-16 09:00:00,148479.51,148651.75,132150.71,139515.94,8379322260.58
2017-03-17 09:00:00,139515.94,140802.62,127278.38,128072.83,10966138065.5
2017-03-18 09:00:00,128072.83,133565.45,103800.77,110787.0,11028527010.88
2017-03-19 09:00:00,110787.0,128869.62,109973.41,122240.93,7894062542.62
2017-03-20 09:00:00,122240.93,126393.66,121271.01,123842.08,4662569435.82
2017-03-21 09:00:00,123842.08,129504.63,123253.64,129255.32,6188652303.61
2017-03-22 09:00:00,129255.32,129630.87,113297.82,120551.19,8258015496.96
2017-03-23 09:00:00,120551.19,121058.36,116020.86,116978.57,5939447053.11
2017-03-24 09:00:00,116978.57,117940.65,102977.57,104689.01,7350253535.71
2017-03-25 09:00:00,104689.01,112193.38,98725.85,111362.83,7576031684.46
2017-03-26 09:00:00,111362.83,112973.31,106407.43,109069.1,6259784079.23
2017-03-27 09:00:00,109069.1,118285.56,107853.49,117810.54,5680867383.02
2017-03-28 09:00:00,117810.54,122048.73,115446.49,119823.4,5498821950.31
2017-03-29 09:00:00,119823.4,120731.61,114664.21,118555.26,5353529765.81
2017-03-30 09:00:00,118555.26,119508.92,116099.37,118228.37,3493474170.49
2017-03-31 09:00:00,118228.37,122725.27,117797.96,122197.53,4612236248.18
2017-04-01 09:00:00,122197.53,125873.27,121690.62,124219.74,3370311645.76
2017-04-02 09:00:00,124219.74,125429.22,122962.35,124670.85,2882160689.62
2017-04-03 09:00:00,124670.85,130637.32,124589.55,129882.52,5088999778.58
2017-04-04 09:00:00,129882.52,130700.44,126800.48,129865.74,4157665803.59
2017-04-05 09:00:00,129865.74,130229.49,127807.7,128754.52,3398823843.85
2017-04-06 09:00:00,128754.52,136931.13,128830.31,135502.43,4509764131.3
2017-04-07 09:00:00,135502.43,137449.23,133389.57,136808.02,3234523587.6
2017-04-08 09:00:00,136808.02,137313.07,134495.05,135932.47,2219338640.6
2017-04-09 09:00:00,135932.47,138771.69,134814.48,137860.31,2670108846.36
2017-04-10 09:00:00,137860.31,138397.4,136980.68,137695.6,2069244960.26
2017-04-11 09:00:00,137695.6,138430.61,136287.02,137928.69,2503258870.17
2017-04-12 09:00:00,137928.69,138420.36,135213.07,135409.91,2805419449.37
2017-04-13 09:00:00,135409.91,136647.74,128260.32,132433.43,5060330893.43
2017-04-14 09:00:00,132433.43,134516.87,131613.31,133195.25,2901183514.38
2017-04-15 09:00:00,133195.25,135601.33,132802.85,133428.58,2058115751.06
2017-04-16 09:00:00,133428.58,134634.52,133264.66,133864.29,1618016007.96
2017-04-17 09:00:00,133864.29,135115.64,133181.06,134579.81,2501775535.74
2017-04-18 09:00:00,134579.81,135852.57,134578.99,134783.59,2227364793.78
2017-04-19 09:00:00,134783.59,135736.69,134373.77,135349.86,1990563497.44
2017-04-20 09:00:00,135349.86,138756.95,135414.4,138200.36,2458335702.94
2017-04-21 09:00:00,138200.36,140781.98,138292.37,139893.75,2232459292.04
2017-04-22 09:00:00,139893.75,140260.8,136026.87,139369.92,2158846547.25
2017-04-23 09:00:00,139369.92,139483.95,138203.89,139347.29,1883296466.5
2017-04-24 09:00:00,139347.29,140227.48,138944.84,139624.62,1974328121.75
2017-04-25 09:00:00,139624.62,143951.12,139752.3,143609.63,2463479793.27
2017-04-26 09:00:00,143609.63,147926.67,143451.66,146715.51,3583598990.94
2017-04-27 09:00:00,146715.51,152565.95,146246.7,151905.65,3303781826.31
2017-04-28 09:00:00,151905.65,153074.48,145689.74,151902.77,4729978710.78
2017-04-29 09:00:00,151902.77,152962.17,150960.16,152439.48,1785478573.58
2017-04-30 09:00:00,152439.48,154670.34,151399.46,153928.48,1785861846.13
2017-05-01 09:00:00,153928.48,172475.11,153657.64,166691.89,7622642219.66
2017-05-02 09:00:00,166691.89,176519.43,164180.11,173663.56,6680816016.92
2017-05-03 09:00:00,173663.56,179270.18,171066.39,177129.88,4527516247.91
2017-05-04 09:00:00,177129.88,195845.79,171391.34,184191.96,8870269814.3
2017-05-05 09:00:00,184191.96,192266.49,177328.7,182609.13,6946777854.38
2017-05-06 09:00:00,182609.13,187674.27,181711.54,186473.87,2734866660.16
2017-05-07 09:00:00,186473.87,189210.28,181045.51,187624.52,3575417705.26
2017-05-08 09:00:00,187624.52,200476.62,186747.91,199140.36,9516003829.71
2017-05-09 09:00:00,199140.36,1320403.71,195690.75,207789.24,10339706001.0
2017-05-10 09:00:00,207789.24,217185.27,206812.61,214180.43,7403745201.33
2017-05-11 09:00:00,214180.43,220378.43,211012.9,217093.41,5806349702.25
